scenes: scene=s2 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=trail

S2 wall of height 1
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        46       46   84.8%    0.0%   15.2%    0.0%      1      5      0.00       2
     2        65       65   63.1%    0.0%   36.9%    0.0%      1      5      0.00       6
     3        50       50   82.0%    0.0%   18.0%    0.0%      1      6      0.00       2
     4        54       54   72.2%    0.0%   27.8%    0.0%      1      7      0.00       2
     5        66       66   59.1%    0.0%   40.9%    0.0%      1      5      0.00      16
     6        64       64   60.9%    0.0%   39.1%    0.0%      1      7      0.00      12
     7        52       52   75.0%    0.0%   25.0%    0.0%      1      6      0.00       3
     8        47       47   83.0%    0.0%   17.0%    0.0%      1      5      0.00       2
     9        55       55   70.9%    0.0%   29.1%    0.0%      1      6      0.00       6
    10        63       63   65.1%    0.0%   34.9%    0.0%      1      8      0.00       8
    11        47       47   83.0%    0.0%   17.0%    0.0%      1      5      0.00       3
    12        50       50   78.0%    0.0%   22.0%    0.0%      1      6      0.00       3
    13        51       51   76.5%    0.0%   23.5%    0.0%      1      6      0.00       4
    14        59       59   66.1%    0.0%   33.9%    0.0%      1      5      0.00       7
    15        68       68   60.3%    0.0%   39.7%    0.0%      1      8      0.00       8
    16        53       53   73.6%    0.0%   26.4%    0.0%      1      5      0.00       8
    17        66       66   60.6%    0.0%   39.4%    0.0%      1     12      0.00       3
    18        57       57   70.2%    0.0%   29.8%    0.0%      1      7      0.00      10
    19        55       55   70.9%    0.0%   29.1%    0.0%      1      6      0.00       3
    20        55       55   70.9%    0.0%   29.1%    0.0%      1      5      0.00       3
    21        65       65   60.0%    0.0%   40.0%    0.0%      1      5      0.00       5
    22        57       57   68.4%    0.0%   31.6%    0.0%      1      8      0.00       6
    23        54       54   72.2%    0.0%   27.8%    0.0%      1      5      0.00       2
    24        53       53   73.6%    0.0%   26.4%    0.0%      1      6      0.00       3
  S2 wall of height 1: arrived 24 of 24 (median 55 decisions) | step 70.0%  tumble 0.0%  idle 30.0%  blocked 0.0% | facing home 88.8% (p_move 0.76), away 11.0% (p_move 0.20) | re-roll fired 0, 0 of them pointing away | longest stand-still 16 decisions | chooser stepped 946, 4 of them pointing away, patience fell to 0.810

S2 wall of height 2
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        48       48   85.4%    0.0%   14.6%    0.0%      2      8      0.00       2
     2        68       68   63.2%    0.0%   36.8%    0.0%      2      7      0.00       6
     3        51       51   82.4%    0.0%   17.6%    0.0%      2      7      0.00       2
     4        55       55   72.7%    0.0%   27.3%    0.0%      2      9      0.00       2
     5        70       70   58.6%    0.0%   41.4%    0.0%      2     10      0.00      16
     6        64       64   60.9%    0.0%   39.1%    0.0%      2      7      0.00      12
     7        57       57   71.9%    0.0%   28.1%    0.0%      2     12      0.00       3
     8        50       50   82.0%    0.0%   18.0%    0.0%      2     10      0.00       2
     9        56       56   71.4%    0.0%   28.6%    0.0%      2      7      0.00       6
    10        68       68   63.2%    0.0%   36.8%    0.0%      2     13      0.00       8
    11        52       52   80.8%    0.0%   19.2%    0.0%      2      9      0.00       3
    12        53       53   77.4%    0.0%   22.6%    0.0%      2      9      0.00       3
    13        55       55   76.4%    0.0%   23.6%    0.0%      2      9      0.00       4
    14        63       63   65.1%    0.0%   34.9%    0.0%      2      8      0.00       7
    15        70       70   61.4%    0.0%   38.6%    0.0%      2     15      0.00       8
    16        55       55   72.7%    0.0%   27.3%    0.0%      2      6      0.00       8
    17        69       69   60.9%    0.0%   39.1%    0.0%      2     15      0.00       3
    18        61       61   68.9%    0.0%   31.1%    0.0%      2     11      0.00      10
    19        65       65   64.6%    0.0%   35.4%    0.0%      2     16      0.00       3
    20        59       59   71.2%    0.0%   28.8%    0.0%      2      8      0.00       3
    21        65       65   60.0%    0.0%   40.0%    0.0%      2      5      0.00       5
    22        61       61   67.2%    0.0%   32.8%    0.0%      2     10      0.00       6
    23        55       55   72.7%    0.0%   27.3%    0.0%      2      6      0.00       2
    24        57       57   70.2%    0.0%   29.8%    0.0%      2      7      0.00       3
  S2 wall of height 2: arrived 24 of 24 (median 59 decisions) | step 69.2%  tumble 0.0%  idle 30.8%  blocked 0.0% | facing home 84.7% (p_move 0.76), away 10.4% (p_move 0.20) | re-roll fired 0, 0 of them pointing away | longest stand-still 16 decisions | chooser stepped 988, 10 of them pointing away, patience fell to 0.810

S2 wall of height 3
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        55       55   80.0%    0.0%   20.0%    0.0%      3     15      0.00       3
     2        71       71   64.8%    0.0%   35.2%    0.0%      3     10      0.00       6
     3        52       52   84.6%    0.0%   15.4%    0.0%      3      9      0.00       2
     4        61       61   70.5%    0.0%   29.5%    0.0%      3     12      0.00       2
     5        74       74   58.1%    0.0%   41.9%    0.0%      3     14      0.00      16
     6        67       67   62.7%    0.0%   37.3%    0.0%      3     10      0.00      12
     7        69       69   72.5%    0.0%   27.5%    0.0%      3     24      0.00       3
     8        54       54   79.6%    0.0%   20.4%    0.0%      3     15      0.00       2
     9        61       61   70.5%    0.0%   29.5%    0.0%      3     11      0.00       6
    10        68       68   63.2%    0.0%   36.8%    0.0%      3     13      0.00       8
    11        53       53   83.0%    0.0%   17.0%    0.0%      3     10      0.00       3
    12        54       54   77.8%    0.0%   22.2%    0.0%      3     10      0.00       3
    13        63       63   71.4%    0.0%   28.6%    0.0%      3     17      0.00       4
    14        67       67   64.2%    0.0%   35.8%    0.0%      3     18      0.00       7
    15        72       72   62.5%    0.0%   37.5%    0.0%      3     19      0.00       8
    16        68       68   61.8%    0.0%   38.2%    0.0%      3     11      0.00       8
    17        70       70   61.4%    0.0%   38.6%    0.0%      3     16      0.00       3
    18        63       63   69.8%    0.0%   30.2%    0.0%      3     13      0.00      10
    19        65       65   67.7%    0.0%   32.3%    0.0%      3     16      0.00       3
    20        59       59   71.2%    0.0%   28.8%    0.0%      3      8      0.00       3
    21        70       70   60.0%    0.0%   40.0%    0.0%      3     10      0.00       5
    22        67       67   67.2%    0.0%   32.8%    0.0%      3     18      0.00       6
    23        58       58   74.1%    0.0%   25.9%    0.0%      3     10      0.00       2
    24        59       59   71.2%    0.0%   28.8%    0.0%      3      9      0.00       3
  S2 wall of height 3: arrived 24 of 24 (median 65 decisions) | step 68.9%  tumble 0.0%  idle 31.1%  blocked 0.0% | facing home 79.5% (p_move 0.76), away 9.9% (p_move 0.20) | re-roll fired 0, 0 of them pointing away | longest stand-still 16 decisions | chooser stepped 1047, 39 of them pointing away, patience fell to 0.387

S2 wall of height 6
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1        60       60   80.0%    0.0%   20.0%    0.0%      6     19      0.00       3
     2        83       83   62.7%    0.0%   37.3%    0.0%      6     25      0.00       6
     3        74       74   68.9%    0.0%   31.1%    0.0%      6     27      0.00       4
     4        70       70   70.0%    0.0%   30.0%    0.0%      6     22      0.00       2
     5        81       81   59.3%    0.0%   40.7%    0.0%      6     24      0.00      16
     6        76       76   63.2%    0.0%   36.8%    0.0%      6     24      0.00      12
     7        79       79   69.6%    0.0%   30.4%    0.0%      6     32      0.00       3
     8        64       64   78.1%    0.0%   21.9%    0.0%      6     25      0.00       3
     9        70       70   70.0%    0.0%   30.0%    0.0%      6     20      0.00       6
    10        77       77   66.2%    0.0%   33.8%    0.0%      6     22      0.00       8
    11        96       96   67.7%    0.0%   32.3%    0.0%      6     53      0.00       6
    12        70       70   74.3%    0.0%   25.7%    0.0%      6     28      0.00       3
    13        67       67   73.1%    0.0%   26.9%    0.0%      6     21      0.00       4
    14        94       94   62.8%    0.0%   37.2%    0.0%      6     48      0.00       7
    15        80       80   67.5%    0.0%   32.5%    0.0%      6     43      0.00       6
    16        75       75   64.0%    0.0%   36.0%    0.0%      6     18      0.00       8
    17        84       84   58.3%    0.0%   41.7%    0.0%      6     26      0.00       3
    18        68       68   72.1%    0.0%   27.9%    0.0%      6     18      0.00      10
    19       866      866   34.6%    0.0%   65.4%    0.0%      6     56      0.00      22
    20        72       72   68.1%    0.0%   31.9%    0.0%      6     25      0.00       5
    21        81       81   60.5%    0.0%   39.5%    0.0%      6     24      0.00       6
    22        73       73   65.8%    0.0%   34.2%    0.0%      6     23      0.00       6
    23        67       67   73.1%    0.0%   26.9%    0.0%      6     22      0.00       2
    24        75       75   66.7%    0.0%   33.3%    0.0%      6     19      0.00       3
  S2 wall of height 6: arrived 24 of 24 (median 75 decisions) | step 56.5%  tumble 0.0%  idle 43.5%  blocked 0.0% | facing home 51.2% (p_move 0.76), away 29.6% (p_move 0.20) | re-roll fired 0, 0 of them pointing away | longest stand-still 22 decisions | chooser stepped 1471, 253 of them pointing away, patience fell to 0.000

S2 wall of height 12
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
     1       146      146   65.8%    0.0%   34.2%    0.0%     12    106      0.00      12
     2       107      107   58.9%    0.0%   41.1%    0.0%     12     45      0.00       6
     3        91       91   68.1%    0.0%   31.9%    0.0%     12     46      0.00       4
     4        90       90   67.8%    0.0%   32.2%    0.0%     12     43      0.00       3
     5        99       99   60.6%    0.0%   39.4%    0.0%     12     43      0.00      16
     6        94       94   62.8%    0.0%   37.2%    0.0%     12     38      0.00      12
     7       621      621   41.2%    0.0%   58.8%    0.0%     12    122      0.00      19
     8        80       80   75.0%    0.0%   25.0%    0.0%     12     39      0.00       4
     9        96       96   64.6%    0.0%   35.4%    0.0%     12     45      0.00       6
    10       141      141   61.0%    0.0%   39.0%    0.0%     12     76      0.00       8
    11       132      132   67.4%    0.0%   32.6%    0.0%     12     89      0.00       5
